object,frame,t,y,v_y,a_y
shotput,0,0.000,0.000,0.000,0.000
shotput,10,0.166,-0.1472,-1.7741,-10.624
shotput,20,0.334,-0.5941,-3.5485,-10.618
shotput,30,0.501,-1.3324,-5.3102,-10.622
shotput,40,0.668,-2.3681,-7.0805,-10.598
shotput,50,0.834,-3.6924,-8.8501,-10.631
shotput,58,0.970,-5.0021,-10.3014,-10.620
bowling,0,0.000,0.000,0.000,0.000
bowling,12,0.201,-0.2132,-2.1124,-10.558
bowling,24,0.402,-0.8491,-4.2241,-10.562
bowling,36,0.601,-1.9054,-6.3365,-10.548
bowling,48,0.802,-3.3841,-8.4482,-10.571
bowling,59,0.990,-5.1764,-10.4542,-10.560
redball,0,0.000,0.000,0.000,0.000
redball,12,0.200,-0.2081,-2.0601,-10.298
redball,24,0.401,-0.8274,-4.1204,-10.304
redball,36,0.602,-1.8592,-6.1802,-10.295
redball,48,0.801,-3.3012,-8.2405,-10.302
redball,60,1.000,-5.1504,-10.3002,-10.300
tennis,0,0.000,0.000,0.000,0.000
tennis,15,0.251,-0.3094,-2.4451,-9.782
tennis,30,0.502,-1.2284,-4.8904,-9.778
tennis,45,0.751,-2.7591,-7.3352,-9.785
tennis,61,1.017,-5.0562,-9.9461,-9.780
pong,0,0.000,0.000,0.000,0.000
pong,13,0.218,-0.2261,-2.0494,-9.438
pong,26,0.434,-0.8912,-4.0881,-9.442
pong,39,0.651,-2.0014,-6.1364,-9.435
pong,52,0.868,-3.5521,-8.1842,-9.444
pong,63,1.050,-5.2032,-9.9125,-9.440
