type,trial,frame,t,y,v_y,a_y
shotput,1,0,0,0,0,0
shotput,1,10,0.166,-0.1472,-1.7741,-10.624
shotput,1,30,0.501,-1.3324,-5.3102,-10.622
shotput,1,50,0.834,-3.6924,-8.8501,-10.631
shotput,1,58,0.97,-5.0021,-10.3014,-10.62
shotput,2,0,0,0,0,0
shotput,2,15,0.247,-0.3218,-2.6054,-10.548
shotput,2,30,0.495,-1.2885,-5.2059,-10.517
shotput,2,45,0.742,-2.8979,-7.811,-10.527
shotput,2,60,0.99,-5.1558,-10.4158,-10.521
shotput,3,0,0,0,0,0
shotput,3,15,0.25,-0.3238,-2.5907,-10.363
shotput,3,30,0.5,-1.3094,-5.2375,-10.475
shotput,3,45,0.75,-2.9233,-7.7955,-10.394
shotput,3,60,1,-5.198,-10.396,-10.396
shotput,4,0,0,0,0,0
shotput,4,15,0.245,-0.3119,-2.5458,-10.391
shotput,4,30,0.49,-1.2371,-5.0494,-10.305
shotput,4,45,0.735,-2.7946,-7.6043,-10.346
shotput,4,60,0.98,-4.9465,-10.095,-10.301
shotput,5,0,0,0,0,0
shotput,5,15,0.247,-0.3108,-2.5164,-10.188
shotput,5,30,0.495,-1.2598,-5.0901,-10.283
shotput,5,45,0.742,-2.8409,-7.6574,-10.32
shotput,5,60,0.99,-5.0392,-10.1802,-10.283
bowling,1,0,0,0,0,0
bowling,1,12,0.201,-0.2132,-2.1124,-10.558
bowling,1,36,0.601,-1.9054,-6.3365,-10.548
bowling,1,48,0.802,-3.3841,-8.4482,-10.571
bowling,1,59,0.99,-5.1764,-10.4542,-10.56
bowling,2,0,0,0,0,0
bowling,2,15,0.25,-0.3277,-2.6215,-10.486
bowling,2,30,0.5,-1.2999,-5.1995,-10.399
bowling,2,45,0.75,-2.9287,-7.8098,-10.413
bowling,2,60,1,-5.2325,-10.465,-10.465
bowling,3,0,0,0,0,0
bowling,3,15,0.247,-0.3152,-2.5525,-10.334
bowling,3,30,0.495,-1.2614,-5.0965,-10.296
bowling,3,45,0.742,-2.8483,-7.6775,-10.347
bowling,3,60,0.99,-5.0681,-10.2386,-10.342
bowling,4,0,0,0,0,0
bowling,4,15,0.253,-0.3274,-2.5884,-10.231
bowling,4,30,0.505,-1.3103,-5.1894,-10.276
bowling,4,45,0.758,-2.9377,-7.7513,-10.226
bowling,4,60,1.01,-5.2132,-10.3232,-10.221
bowling,5,0,0,0,0,0
bowling,5,15,0.25,-0.3226,-2.5808,-10.323
bowling,5,30,0.5,-1.2808,-5.123,-10.246
bowling,5,45,0.75,-2.9064,-7.7505,-10.334
bowling,5,60,1,-5.116,-10.232,-10.232
redball,1,0,0,0,0,0
redball,1,12,0.2,-0.2081,-2.0601,-10.298
redball,1,36,0.602,-1.8592,-6.1802,-10.295
redball,1,48,0.801,-3.3012,-8.2405,-10.302
redball,1,60,1,-5.1504,-10.3002,-10.3
redball,2,0,0,0,0,0
redball,2,15,0.253,-0.3246,-2.5662,-10.143
redball,2,30,0.505,-1.2852,-5.0899,-10.079
redball,2,45,0.758,-2.9194,-7.7028,-10.162
redball,2,60,1.01,-5.1867,-10.2707,-10.169
redball,3,0,0,0,0,0
redball,3,15,0.25,-0.3226,-2.5805,-10.322
redball,3,30,0.5,-1.296,-5.184,-10.368
redball,3,45,0.75,-2.909,-7.7572,-10.343
redball,3,60,1,-5.1455,-10.291,-10.291
redball,4,0,0,0,0,0
redball,4,15,0.247,-0.3097,-2.5075,-10.152
redball,4,30,0.495,-1.2554,-5.0723,-10.247
redball,4,45,0.742,-2.8244,-7.6129,-10.26
redball,4,60,0.99,-5.0358,-10.1732,-10.276
redball,5,0,0,0,0,0
redball,5,15,0.253,-0.3266,-2.5819,-10.205
redball,5,30,0.505,-1.3112,-5.1929,-10.283
redball,5,45,0.758,-2.9349,-7.7437,-10.216
redball,5,61,1.01,-5.2163,-10.3293,-10.227
tennis,1,0,0,0,0,0
tennis,1,15,0.251,-0.3094,-2.4451,-9.782
tennis,1,30,0.502,-1.2284,-4.8904,-9.778
tennis,1,45,0.751,-2.7591,-7.3352,-9.785
tennis,1,61,1.017,-5.0562,-9.9461,-9.78
tennis,2,0,0,0,0,0
tennis,2,15,0.258,-0.3423,-2.6535,-10.285
tennis,2,30,0.515,-1.3769,-5.3472,-10.383
tennis,2,45,0.772,-3.0854,-7.9933,-10.354
tennis,2,60,1.03,-5.5252,-10.7285,-10.416
tennis,3,0,0,0,0,0
tennis,3,15,0.253,-0.3219,-2.5449,-10.059
tennis,3,30,0.505,-1.2852,-5.0899,-10.079
tennis,3,45,0.758,-2.9153,-7.6922,-10.148
tennis,3,60,1.01,-5.1265,-10.1515,-10.051
tennis,4,0,0,0,0,0
tennis,4,15,0.255,-0.3327,-2.6097,-10.234
tennis,4,30,0.51,-1.339,-5.251,-10.296
tennis,4,45,0.765,-3.0069,-7.8611,-10.276
tennis,4,60,1.02,-5.3669,-10.5233,-10.317
tennis,5,0,0,0,0,0
tennis,5,15,0.26,-0.3454,-2.6567,-10.218
tennis,5,30,0.52,-1.3771,-5.2967,-10.186
tennis,5,45,0.78,-3.0952,-7.9365,-10.175
tennis,5,60,1.04,-5.4875,-10.5529,-10.147
pong,1,0,0,0,0,0
pong,1,13,0.218,-0.2261,-2.0494,-9.438
pong,1,39,0.651,-2.0014,-6.1364,-9.435
pong,1,52,0.868,-3.5521,-8.1842,-9.444
pong,1,63,1.05,-5.2032,-9.9125,-9.44
pong,2,0,0,0,0,0
pong,2,15,0.268,-0.3696,-2.7585,-10.293
pong,2,30,0.535,-1.4822,-5.541,-10.357
pong,2,45,0.802,-3.3267,-8.2959,-10.344
pong,2,60,1.07,-5.8825,-10.9953,-10.276
pong,3,0,0,0,0,0
pong,3,15,0.265,-0.3683,-2.7796,-10.489
pong,3,30,0.53,-1.4761,-5.5703,-10.51
pong,3,45,0.795,-3.314,-8.3372,-10.487
pong,3,60,1.06,-5.9079,-11.147,-10.516
pong,4,0,0,0,0,0
pong,4,15,0.27,-0.3841,-2.8455,-10.539
pong,4,30,0.54,-1.5376,-5.6948,-10.546
pong,4,45,0.81,-3.4517,-8.5228,-10.522
pong,4,60,1.08,-6.1096,-11.3141,-10.476
pong,5,0,0,0,0,0
pong,5,15,0.265,-0.3677,-2.7751,-10.472
pong,5,30,0.53,-1.4728,-5.5576,-10.486
pong,5,45,0.795,-3.3055,-8.3157,-10.46
pong,5,60,1.06,-5.8607,-11.0579,-10.432
