Tracker (v6.1.0) Table Data

Track: Point Mass (Shotput, Bowling, Redball, Tennis, Pingpong)

Location: Manalapan High School

Units: Length (m), Time (s), Mass (kg)

object,frame,t,y,v_y,a_y
Shotput,0,0.000,0.000,0.000,0.000
Shotput,10,0.166,-0.1472,-1.7741,-10.624
Shotput,20,0.334,-0.5941,-3.5485,-10.618
Shotput,30,0.501,-1.3324,-5.3102,-10.622
Shotput,40,0.668,-2.3681,-7.0805,-10.598
Shotput,50,0.834,-3.6924,-8.8501,-10.631
Shotput,58,0.970,-5.0021,-10.3014,-10.620
Bowling Ball,0,0.000,0.000,0.000,0.000
Bowling Ball,12,0.201,-0.2132,-2.1124,-10.558
Bowling Ball,24,0.402,-0.8491,-4.2241,-10.562
Bowling Ball,36,0.601,-1.9054,-6.3365,-10.548
Bowling Ball,48,0.802,-3.3841,-8.4482,-10.571
Bowling Ball,59,0.990,-5.1764,-10.4542,-10.560
Redball,0,0.000,0.000,0.000,0.000
Redball,12,0.200,-0.2081,-2.0601,-10.298
Redball,24,0.401,-0.8274,-4.1204,-10.304
Redball,36,0.602,-1.8592,-6.1802,-10.295
Redball,48,0.801,-3.3012,-8.2405,-10.302
Redball,60,1.000,-5.1504,-10.3002,-10.300
Tennis Ball,0,0.000,0.000,0.000,0.000
Tennis Ball,15,0.251,-0.3094,-2.4451,-9.782
Tennis Ball,30,0.502,-1.2284,-4.8904,-9.778
Tennis Ball,45,0.751,-2.7591,-7.3352,-9.785
Tennis Ball,61,1.017,-5.0562,-9.9461,-9.780
Pingpong Ball,0,0.000,0.000,0.000,0.000
Pingpong Ball,13,0.218,-0.2261,-2.0494,-9.438
Pingpong Ball,26,0.434,-0.8912,-4.0881,-9.442
Pingpong Ball,39,0.651,-2.0014,-6.1364,-9.435
Pingpong Ball,52,0.868,-3.5521,-8.1842,-9.444
Pingpong Ball,63,1.050,-5.2032,-9.9125,-9.440
