Tracker (v6.1.0) Table Data

Track: Point Mass (Shotput, Bowling, Redball, Tennis, Pingpong)

Location: Manalapan High School

Units: Length (m), Time (s), mass(kg)

type,trial,frame,t,y,v_y,a_y
Shotput,1,0,0.0,0.0,0.0,0.0
Shotput,1,10,0.166,-0.1472,-1.7741,-10.624
Shotput,1,30,0.501,-1.3324,-5.3102,-10.622
Shotput,1,50,0.834,-3.6924,-8.8501,-10.631
Shotput,1,58,0.97,-5.0021,-10.3014,-10.62
Shotput,2,0,0.0,0.0,0.0,0.0
Shotput,2,15,0.247,-0.3218,-2.6054,-10.548
Shotput,2,30,0.495,-1.2885,-5.2059,-10.517
Shotput,2,45,0.742,-2.8979,-7.811,-10.527
Shotput,2,60,0.99,-5.1558,-10.4158,-10.521
Shotput,3,0,0.0,0.0,0.0,0.0
Shotput,3,15,0.25,-0.3238,-2.5907,-10.363
Shotput,3,30,0.5,-1.3094,-5.2375,-10.475
Shotput,3,45,0.75,-2.9233,-7.7955,-10.394
Shotput,3,60,1.0,-5.198,-10.396,-10.396
Shotput,4,0,0.0,0.0,0.0,0.0
Shotput,4,15,0.245,-0.3119,-2.5458,-10.391
Shotput,4,30,0.49,-1.2371,-5.0494,-10.305
Shotput,4,45,0.735,-2.7946,-7.6043,-10.346
Shotput,4,60,0.98,-4.9465,-10.095,-10.301
Shotput,5,0,0.0,0.0,0.0,0.0
Shotput,5,15,0.247,-0.3108,-2.5164,-10.188
Shotput,5,30,0.495,-1.2598,-5.0901,-10.283
Shotput,5,45,0.742,-2.8409,-7.6574,-10.32
Shotput,5,60,0.99,-5.0392,-10.1802,-10.283
Bowling Ball,1,0,0.0,0.0,0.0,0.0
Bowling Ball,1,12,0.201,-0.2132,-2.1124,-10.558
Bowling Ball,1,36,0.601,-1.9054,-6.3365,-10.548
Bowling Ball,1,48,0.802,-3.3841,-8.4482,-10.571
Bowling Ball,1,59,0.99,-5.1764,-10.4542,-10.56
